id,plataforma,cidade,bairro,titulo,preco_aluguel,quartos,area_m2,status,data_descoberta,data_atualizacao,link
olx_8621ce65a7,OLX,Santo Amaro,Geral,Casas para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/estado-ba/regiao-de-feira-de-santana-e-alagoinhas/saubara
olx_c8626ea08f,OLX,Santo Amaro,Geral,Imóveis para alugar,9000.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/estado-pe/grande-recife/recife/santo-amaro
olx_b605a23ae9,OLX,Camaçari,Abrantes,Imóveis para alugar,4200.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/estado-ba/grande-salvador/grande-salvador/camacari
olx_3662f04a6a,OLX,Camaçari,Abrantes,"""condomínios em camaçari para alugar""",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/anuncios/condominios-em-camacari-para-alugar
olx_94186ce18e,OLX,Camaçari,Barra,Casa para temporada,499.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/temporada/casas/estado-ba/grande-salvador/grande-salvador/camacari
olx_650bd622bf,OLX,Camaçari,Geral,casas para alugar em condomínios fechado em camaçari,13000.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/anuncios/casas-para-alugar-em-condominios-fechado-em-camacari
olx_656fc1b751,OLX,Camaçari,Geral,Casa de condomínio para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/casas-de-condominio/estado-ba/regiao-de-vitoria-da-conquista-e-barreiras/parafuso-camacari
olx_23578e0034,OLX,Camaçari,Geral,Casas para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/estado-ba/grande-salvador/grande-salvador/camacari
olx_3b1b17b859,OLX,Camaçari,Geral,Casas com 2 quartos para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/2-quartos/estado-ba/grande-salvador/grande-salvador/camacari
olx_234522562c,OLX,Camaçari,Busca Vida,Imóveis com 4 quartos para alugar,3000.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/4-quartos/estado-ba/grande-salvador/grande-salvador/camacari
olx_2b3a684449,OLX,Camaçari,Abrantes,Imóveis com 3 quartos para alugar,4200.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/3-quartos/estado-ba/grande-salvador/grande-salvador/camacari
olx_d7d5140447,OLX,Camaçari,Geral,Casas com 1 quarto para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/1-quarto/estado-ba/grande-salvador/grande-salvador/camacari
olx_ind_05b019012e,OLX,Salvador,Geral,Imóveis para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/estado-ba/grande-salvador/salvador/liberdade
olx_ind_b6bfaea01f,OLX,Salvador,Geral,Imóveis para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/estado-ba/grande-salvador/salvador/ribeira
olx_ind_bbe049baf6,OLX,Salvador,Brotas,Imóveis com 1 quarto para alugar,400.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/1-quarto/estado-ba/grande-salvador/salvador/brotas
olx_ind_31359f6492,OLX,Lauro de Freitas,Vilas do Atlântico,Casas com 2 quartos para alugar,5000.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/2-quartos/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_ind_be5618230c,OLX,Lauro de Freitas,Geral,Casas com 3 quartos para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/3-quartos/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_ind_191e90fbc1,OLX,Lauro de Freitas,Buraquinho,Casas com 4 quartos para alugar,4700.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/4-quartos/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_ind_5147697c3e,OLX,Lauro de Freitas,Vilas do Atlântico,Casas com 1 quarto para alugar,1800.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/1-quarto/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_ind_12f2fb24f1,OLX,Lauro de Freitas,Buraquinho,"Casas para alugar em Buraquinho, Lauro de Freitas",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.vivareal.com.br/aluguel/bahia/lauro-de-freitas/bairros/buraquinho/casa_residencial/
olx_ind_a7ea7b2936,OLX,Santo Amaro,Geral,1.498 Casas para alugar em Santo Amaro,1030.0,3,120.0,ativo,2026-06-28,2026-06-28,https://imoveis.mitula.com.br/imoveis/aluguel-casas-santo-amaro
olx_ind_4ae10a1130,OLX,Salvador,Geral,Imóveis para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/estado-ba/grande-salvador/salvador/uruguai
